DeltaTime,fd,OpTyp,DeltaOffset,Size,Duration
0.000694908,0,R,0,1048576,9.9571e-05
0.000108014,1,W,0,1048576,0.000639328
0.000647288,0,R,0,1048576,8.0647e-05
8.392e-05,1,W,0,1048576,0.000595763
0.000601932,0,R,0,1048576,8.7112e-05
9.2371e-05,1,W,0,1048576,0.000613884
0.000620506,0,R,0,1048576,8.0254e-05
8.3833e-05,1,W,0,1048576,0.000640445
0.000648304,0,R,0,1048576,8.0155e-05
8.3751e-05,1,W,0,1048576,0.000596112
0.000600898,0,R,0,1048576,8.0091e-05
8.3348e-05,1,W,0,1048576,0.00059158
0.00059646,0,R,0,1048576,8.006e-05
8.33e-05,1,W,0,1048576,0.000626343
0.000634022,0,R,0,1048576,8.0428e-05
8.3734e-05,1,W,0,1048576,0.000664065
0.000670853,0,R,0,1048576,8.0157e-05
8.3471e-05,1,W,0,1048576,0.000612254
0.000619942,0,R,0,1048576,0.000107835
0.000112773,1,W,0,1048576,0.000693926
0.000702114,0,R,0,1048576,8.0341e-05
8.4472e-05,1,W,0,1048576,0.000594764
0.00059969,0,R,0,1048576,8.0066e-05
8.3135e-05,1,W,0,1048576,0.000593759
0.000598465,0,R,0,1048576,8.0085e-05
8.3173e-05,1,W,0,1048576,0.000591653
0.000596346,0,R,0,1048576,8.0126e-05
8.3375e-05,1,W,0,1048576,0.000599857
0.00060497,0,R,0,1048576,0.000210608
0.000218538,1,W,0,1048576,0.000681221
0.000699382,0,R,0,1048576,8.0202e-05
8.4084e-05,1,W,0,1048576,0.000684921
0.000694183,0,R,0,1048576,8.4936e-05
9.0068e-05,1,W,0,1048576,0.000621217
0.000627948,0,R,0,1048576,8.9415e-05
9.4061e-05,1,W,0,1048576,0.0005821
0.000588,0,R,0,1048576,8.0207e-05
8.3478e-05,1,W,0,1048576,0.000716239
0.00072304,0,R,0,1048576,8.0127e-05
8.345e-05,1,W,0,1048576,0.0006274
0.000634096,0,R,0,1048576,8.0319e-05
8.3677e-05,1,W,0,1048576,0.000592478
0.000597217,0,R,0,1048576,8.0094e-05
8.3343e-05,1,W,0,1048576,0.000588714
0.000593526,0,R,0,1048576,8.0067e-05
8.3159e-05,1,W,0,1048576,0.000701516
0.000710431,0,R,0,1048576,8.0374e-05
8.3837e-05,1,W,0,1048576,0.000601043
0.000605746,0,R,0,1048576,8.0031e-05
8.3226e-05,1,W,0,1048576,0.000591399
0.000596069,0,R,0,1048576,8.0061e-05
8.3278e-05,1,W,0,1048576,0.000682921
0.000691881,0,R,0,1048576,8.0554e-05
8.4105e-05,1,W,0,1048576,0.000728651
0.00073527,0,R,0,1048576,8.0303e-05
8.376e-05,1,W,0,1048576,0.000638252
0.000645739,0,R,0,1048576,8.7226e-05
9.0793e-05,1,W,0,1048576,0.00062784
0.000634571,0,R,0,1048576,8.031e-05
8.3655e-05,1,W,0,1048576,0.000613196
0.000620095,0,R,0,1048576,8.6907e-05
9.0378e-05,1,W,0,1048576,0.000682083
0.000689951,0,R,0,1048576,8.7192e-05
0.000106009,1,W,0,1048576,0.000641516
0.000648282,0,R,0,1048576,8.7316e-05
9.117e-05,1,W,0,1048576,0.000698792
0.000711558,0,R,0,1048576,8.7392e-05
9.1692e-05,1,W,0,1048576,0.0079519
0.00799461,0,R,0,1048576,0.000216107
0.00022934,1,W,0,1048576,0.00147116
0.00148933,0,R,0,1048576,0.000231682
0.000240296,1,W,0,1048576,0.000993703
0.00100667,0,R,0,1048576,0.000184269
0.000191642,1,W,0,1048576,0.000763824
0.000772185,0,R,0,1048576,8.7022e-05
9.0729e-05,1,W,0,1048576,0.00661689
0.00663864,0,R,0,1048576,9.2261e-05
9.7217e-05,1,W,0,1048576,0.000618332
0.000623773,0,R,0,1048576,7.9882e-05
8.3103e-05,1,W,0,1048576,0.000598929
0.00060635,0,R,0,1048576,8.6944e-05
9.0759e-05,1,W,0,1048576,0.00624734
0.00626181,0,R,0,1048576,8.1332e-05
8.5075e-05,1,W,0,1048576,0.000650573
0.000657929,0,R,0,1048576,8.0191e-05
8.3772e-05,1,W,0,1048576,0.000593177
0.000599246,0,R,0,1048576,7.982e-05
8.3155e-05,1,W,0,1048576,0.006427
0.00645349,0,R,0,1048576,0.000118166
0.000123295,1,W,0,1048576,0.000657058
0.000666112,0,R,0,1048576,8.7128e-05
9.1161e-05,1,W,0,1048576,0.00065197
0.000659362,0,R,0,1048576,8.6746e-05
9.0636e-05,1,W,0,1048576,0.000887693
0.000909364,0,R,0,1048576,0.000104719
0.000113321,1,W,0,1048576,0.00642142
0.00647284,0,R,0,1048576,0.000231828
0.000241433,1,W,0,1048576,0.0014678
0.00148773,0,R,0,1048576,0.000242739
0.000255983,1,W,0,1048576,0.00127557
0.00129116,0,R,0,1048576,0.000148755
0.000154289,1,W,0,1048576,0.000954931
0.000963478,0,R,0,1048576,0.000148433
0.000153692,1,W,0,1048576,0.00643375
0.00645044,0,R,0,1048576,8.4031e-05
8.8299e-05,1,W,0,1048576,0.000624464
